# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 508K of event 'cycles'
# Event count (approx.): 249210653757
#
# Overhead  Command  Shared Object        Symbol                                        
# ........  .......  ...................  ..............................................
#
     0.27%  server   libc-2.19.so         [.] 0x0000000000082e2f                        
     0.27%  server   libc-2.19.so         [.] 0x000000000007f091                        
     0.26%  server   server               [.] 0x0000000000003988                        
     0.26%  server   [kernel.kallsyms]    [k] __alloc_skb                               
     0.26%  server   [kernel.kallsyms]    [k] tcp_v4_rcv                                
     0.26%  server   server               [.] 0x000000000000396b                        
     0.25%  server   [kernel.kallsyms]    [k] sock_def_write_space                      
     0.25%  server   [kernel.kallsyms]    [k] __enqueue_entity                          
     0.24%  server   libc-2.19.so         [.] 0x0000000000080489                        
     0.24%  server   server               [.] 0x0000000000006f6e                        
     0.24%  server   libc-2.19.so         [.] 0x000000000007ff35                        
     0.24%  server   [kernel.kallsyms]    [k] get_futex_key                             
     0.23%  server   [kernel.kallsyms]    [k] account_entity_enqueue                    
     0.23%  server   [kernel.kallsyms]    [k] native_write_msr_safe                     
     0.23%  server   [kernel.kallsyms]    [k] __kmalloc_node_track_caller               
     0.23%  server   [kernel.kallsyms]    [k] rb_insert_color                           
     0.23%  server   server               [.] 0x000000000000aee0                        
     0.23%  server   [kernel.kallsyms]    [k] do_futex                                  
     0.23%  server   [kernel.kallsyms]    [k] check_preempt_wakeup                      
     0.23%  server   [kernel.kallsyms]    [k] __udp4_lib_rcv                            
     0.22%  server   libc-2.19.so         [.] 0x0000000000140b18                        
     0.22%  server   [kernel.kallsyms]    [k] __sk_mem_reclaim                          
     0.21%  server   [kernel.kallsyms]    [k] sock_alloc_send_pskb                      
     0.21%  server   [kernel.kallsyms]    [k] cpuacct_charge                            
     0.21%  server   [kernel.kallsyms]    [k] ip_idents_reserve                         
     0.21%  server   [kernel.kallsyms]    [k] __sk_mem_schedule                         
     0.21%  server   [kernel.kallsyms]    [k] __schedule                                
     0.20%  server   libpthread-2.19.so   [.] 0x000000000000ee3f                        
     0.20%  server   [kernel.kallsyms]    [k] enqueue_to_backlog                        
     0.19%  server   [kernel.kallsyms]    [k] sock_rfree                                
     0.19%  server   [kernel.kallsyms]    [k] mutex_lock                                
     0.19%  server   [kernel.kallsyms]    [k] netif_skb_features                        
     0.19%  server   libc-2.19.so         [.] 0x00000000000804bd                        
     0.19%  server   [kernel.kallsyms]    [k] sock_wfree                                
     0.19%  server   [kernel.kallsyms]    [k] ip_queue_xmit                             
     0.19%  server   [kernel.kallsyms]    [k] mod_timer                                 
     0.19%  server   [kernel.kallsyms]    [k] __call_rcu_nocb_enqueue                   
     0.18%  server   [kernel.kallsyms]    [k] ttwu_stat                                 
     0.18%  server   libpthread-2.19.so   [.] 0x000000000000ef30                        
     0.18%  server   server               [.] 0x00000000000070d1                        
     0.18%  server   [kernel.kallsyms]    [k] tcp_write_xmit                            
     0.18%  server   server               [.] 0x0000000000007292                        
     0.18%  server   server               [.] 0x00000000000070bd                        
     0.18%  server   [kernel.kallsyms]    [k] hash_futex                                
     0.18%  server   libpthread-2.19.so   [.] 0x000000000000f8ad                        
     0.18%  server   libpthread-2.19.so   [.] 0x000000000000eea2                        
     0.17%  server   server               [.] 0x000000000000b10c                        
     0.17%  server   [kernel.kallsyms]    [k] net_rx_action                             
     0.17%  server   [kernel.kallsyms]    [k] process_backlog                           
     0.17%  server   [kernel.kallsyms]    [k] rb_erase                                  
     0.17%  server   server               [.] 0x000000000000b050                        
     0.17%  server   [kernel.kallsyms]    [k] rw_copy_check_uvector                     
     0.17%  server   libc-2.19.so         [.] 0x000000000007fedc                        
     0.16%  server   server               [.] 0x0000000000007eb0                        
     0.16%  server   libstdc++.so.6.0.21  [.] 0x00000000000c0d34                        
     0.16%  server   libstdc++.so.6.0.21  [.] 0x00000000000bfe10                        
     0.16%  server   [kernel.kallsyms]    [k] __percpu_counter_add                      
     0.15%  server   [kernel.kallsyms]    [k] task_waking_fair                          
     0.15%  server   [kernel.kallsyms]    [k] __call_rcu                                
     0.15%  server   [kernel.kallsyms]    [k] entry_SYSCALL_64_fastpath                 
     0.15%  server   [kernel.kallsyms]    [k] raw_local_deliver                         
     0.15%  server   [kernel.kallsyms]    [k] get_empty_filp                            
     0.15%  server   libc-2.19.so         [.] 0x00000000000980b6                        
     0.14%  server   [kernel.kallsyms]    [k] get_futex_value_locked                    
     0.14%  server   libstdc++.so.6.0.21  [.] 0x00000000000c1317                        
